E(keV)	tissue(ICRU44)	water	bonecortical(ICRU44)	adipose	aria	Al	Ca	Fe	C	Cu	Ag	Sn	Ba	Si	CsI	GadOX	polietilene	PMMA	teflon	glass(Pyrex)	Pb	CdTe	ZnSe(Te)	W	Mo	PMMA(wat1999)	Poliossimetilene	CaCl2	etanolo	CaCl2_H2O_100	CaCl2_etanolo_150	CaCl2_etanolo_50	Ottone(Cu_06_Zn_04)	Au	Mg	Ti	mix	H	HA_800mg_Idrossiapatite_in_water	HA_200mg_Idrossiapatite_in_water	HA_100mg_Idrossiapatite_in_water	HA_50mg_Idrossiapatite_in_water	I
92.0	0.184	0.175	0.378	0.164	0.000	0.486	0.378	3.457	0.249	4.930	19.227	15.134	0.959	0.457	11.449	24.129	0.155	0.200	0.329	0.386	77.861	12.509	8.623	105.441017624937	1	0.1868	0.22201548348272	0.581833793009492	0.130637344792164	0.197101260587667	0.174736459243711	0.149121940735987	6.477	123.3	0.03080	1.41	0.732	0.0212940803285711	0.303	0.207	0.191	0.183	11.9723516087288
92.5	0.184	0.175	0.378	0.164	0.000	0.486	0.378	3.417	0.249	4.870	18.958	14.924	0.945	0.454	11.287	23.792	0.155	0.200	0.329	0.386	76.840	12.323	8.477	104.018272375593	1	0.1867	0.221792891391669	0.576777043524228	0.130536224854891	0.196532546218075	0.174236354277119	0.148908703005646	6.413	121.5	0.03080	1.39	0.731	0.0212689992107181	0.302	0.207	0.191	0.183	11.804246961763
93.0	0.183	0.175	0.376	0.163	0.000	0.483	0.376	3.378	0.248	4.810	18.694	14.718	0.931	0.452	11.129	23.462	0.155	0.200	0.328	0.384	75.705	12.142	8.334	102.623608288583	1	0.1865	0.221576787663523	0.571802526973052	0.130438439477792	0.195973824699382	0.173745401074862	0.148700975992123	6.351	119.8	0.03062	1.38	0.731	0.0212440282337558	0.301	0.206	0.191	0.183	11.6394629592814
93.5	0.183	0.174	0.374	0.163	0.000	0.480	0.374	3.346	0.248	4.760	18.436	14.516	0.917	0.450	10.974	23.139	0.155	0.199	0.327	0.384	74.683	11.965	8.193	101.256238178755	1	0.1864	0.221367046495	0.566908378200018	0.130343924718312	0.19542488984745	0.173263409049936	0.148498650164792	6.290	118.2	0.03045	1.37	0.730	0.0212191664364394	0.299	0.205	0.19	0.182	11.4779160093242
94.0	0.183	0.174	0.373	0.163	0.000	0.480	0.373	3.307	0.248	4.700	18.183	14.318	0.903	0.447	10.822	22.821	0.155	0.199	0.327	0.381	73.662	11.791	8.055	99.9154037154897	1	0.1863	0.221163545292536	0.562092785650277	0.130252618241943	0.194885541005224	0.172790192776705	0.148301618870959	6.230	116.7	0.03045	1.36	0.730	0.0211944128421384	0.297	0.205	0.189	0.182	11.319525060811
94.5	0.182	0.174	0.371	0.163	0.000	0.478	0.371	3.276	0.248	4.640	17.934	14.124	0.893	0.447	10.672	22.510	0.155	0.199	0.326	0.381	72.754	11.621	7.919	98.6003741368744	1	0.1861	0.220966164571682	0.557353989517271	0.130164459272493	0.194355582861767	0.172325571820331	0.148109778243206	6.171	115.1	0.03028	1.34	0.730	0.0211697664593184	0.296	0.205	0.189	0.182	11.1642115134363
95.0	0.182	0.174	0.371	0.163	0.000	0.475	0.371	3.236	0.248	4.590	17.691	13.933	0.879	0.445	10.526	22.205	0.155	0.199	0.326	0.379	71.732	11.455	7.786	97.3104450305147	1	0.1860	0.220774787860224	0.552690279964456	0.13007938854418	0.193834825278256	0.171869370572842	0.147923027110261	6.113	113.6	0.03028	1.33	0.729	0.0211452262819922	0.295	0.204	0.189	0.182	11.0118991312054
95.5	0.182	0.173	0.369	0.163	0.000	0.475	0.369	3.205	0.248	4.530	17.453	13.746	0.868	0.443	10.383	21.906	0.155	0.198	0.325	0.379	70.824	11.293	7.656	96.044937176983	1	0.1859	0.220589301604874	0.548099995418148	0.129997348255466	0.193323083120648	0.171421418095524	0.147741266911222	6.056	112.1	0.03010	1.32	0.729	0.0211207912901968	0.293	0.203	0.188	0.181	10.8625139594448
96.0	0.182	0.173	0.367	0.163	0.000	0.472	0.367	3.173	0.248	4.490	17.219	13.563	0.854	0.440	10.242	21.612	0.155	0.198	0.325	0.377	69.916	11.134	7.527	94.8031954523894	1	0.1858	0.220409595081376	0.543581520928253	0.129918282024561	0.192820176098706	0.170981547967364	0.147564401613007	6.000	110.5	0.03010	1.31	0.729	0.0210964604504613	0.292	0.203	0.188	0.18	10.7159842451307
96.5	0.181	0.173	0.365	0.163	0.000	0.470	0.365	3.142	0.248	4.440	16.989	13.383	0.844	0.440	10.104	21.323	0.154	0.198	0.324	0.377	68.895	10.978	7.402	93.5845877865364	1	0.1856	0.220235560307881	0.539133286593812	0.129842134846526	0.192325928611131	0.170549598139274	0.14739233763088	5.945	109.2	0.02993	1.30	0.728	0.021072232716232	0.291	0.203	0.188	0.18	10.5722403603885
