pool,case,side,limb,anatomical_extent,dir_name,path,nx,ny,nz,spacing_x_mm,spacing_y_mm,spacing_z_mm,leg_purity_pct,notes
VSD,014,R,leg,mid-thigh to toe tip,014_RightLeg_MidThigh-ToToe,/mnt/h/MICHELE_MCGPU/VSD_dicom/014_RightLeg_MidThigh-ToToe,146,266,1175,0.9043,0.9043,0.5999,99.6,
VSD,015,L,leg,mid-thigh to toe tip,015_LeftLeg_MidThigh-ToToe,/mnt/h/MICHELE_MCGPU/VSD_dicom/015_LeftLeg_MidThigh-ToToe,249,336,1260,0.7656,0.7656,0.6000,97.2,
VSD,015,R,leg,mid-thigh to toe tip,015_RightLeg_MidThigh-ToToe,/mnt/h/MICHELE_MCGPU/VSD_dicom/015_RightLeg_MidThigh-ToToe,223,381,1243,0.7656,0.7656,0.6000,97.9,
VSD,016,L,leg,mid-thigh to toe tip,016_LeftLeg_MidThigh-ToToe,/mnt/h/MICHELE_MCGPU/VSD_dicom/016_LeftLeg_MidThigh-ToToe,268,266,1098,0.8730,0.8730,0.6000,97.4,
VSD,016,R,leg,mid-thigh to toe tip,016_RightLeg_MidThigh-ToToe,/mnt/h/MICHELE_MCGPU/VSD_dicom/016_RightLeg_MidThigh-ToToe,178,272,1098,0.8730,0.8730,0.6000,99.5,
VSD,017,L,leg,mid-thigh to toe tip,017_LeftLeg_MidThigh-ToToe,/mnt/h/MICHELE_MCGPU/VSD_dicom/017_LeftLeg_MidThigh-ToToe,274,368,1205,0.7129,0.7129,0.6000,98.5,
VSD,017,R,leg,mid-thigh to toe tip,017_RightLeg_MidThigh-ToToe,/mnt/h/MICHELE_MCGPU/VSD_dicom/017_RightLeg_MidThigh-ToToe,221,335,1215,0.7129,0.7129,0.6000,99.5,
VSD,019,L,leg,mid-thigh to toe tip,019_LeftLeg_MidThigh-ToToe,/mnt/h/MICHELE_MCGPU/VSD_dicom/019_LeftLeg_MidThigh-ToToe,240,426,1265,0.6992,0.6992,0.6000,99.0,
VSD,019,R,leg,mid-thigh to toe tip,019_RightLeg_MidThigh-ToToe,/mnt/h/MICHELE_MCGPU/VSD_dicom/019_RightLeg_MidThigh-ToToe,253,383,1264,0.6992,0.6992,0.6000,98.3,
VSD,023,L,leg,mid-thigh to toe tip,023_LeftLeg_MidThigh-ToToe,/mnt/h/MICHELE_MCGPU/VSD_dicom/023_LeftLeg_MidThigh-ToToe,214,369,1305,0.8828,0.8828,0.5998,99.4,
VSD,023,R,leg,mid-thigh to toe tip,023_RightLeg_MidThigh-ToToe,/mnt/h/MICHELE_MCGPU/VSD_dicom/023_RightLeg_MidThigh-ToToe,217,372,1312,0.8828,0.8828,0.5998,99.6,
VSD,z001,L,leg,mid-thigh to toe tip,z001_LeftLeg_MidThigh-ToToe,/mnt/h/MICHELE_MCGPU/VSD_dicom/z001_LeftLeg_MidThigh-ToToe,219,250,1533,0.9902,0.9902,0.5000,98.9,
VSD,z001,R,leg,mid-thigh to toe tip,z001_RightLeg_MidThigh-ToToe,/mnt/h/MICHELE_MCGPU/VSD_dicom/z001_RightLeg_MidThigh-ToToe,210,282,1526,0.9902,0.9902,0.5000,98.4,
VSD,z009,L,leg,mid-thigh to toe tip,z009_LeftLeg_MidThigh-ToToe,/mnt/h/MICHELE_MCGPU/VSD_dicom/z009_LeftLeg_MidThigh-ToToe,150,285,1594,1.1152,1.1152,0.5000,99.0,
VSD,z009,R,leg,mid-thigh to toe tip,z009_RightLeg_MidThigh-ToToe,/mnt/h/MICHELE_MCGPU/VSD_dicom/z009_RightLeg_MidThigh-ToToe,174,250,1559,1.1152,1.1152,0.5000,91.4,lower purity (91.4%) but visually confirmed complete via MIP
VSD,z013,L,leg,mid-thigh to toe tip,z013_LeftLeg_MidThigh-ToToe,/mnt/h/MICHELE_MCGPU/VSD_dicom/z013_LeftLeg_MidThigh-ToToe,141,190,1398,1.2695,1.2695,0.5000,99.1,
VSD,z013,R,leg,mid-thigh to toe tip,z013_RightLeg_MidThigh-ToToe,/mnt/h/MICHELE_MCGPU/VSD_dicom/z013_RightLeg_MidThigh-ToToe,176,163,1392,1.2695,1.2695,0.5000,98.8,
VSD,z019,L,leg,mid-thigh to toe tip,z019_LeftLeg_MidThigh-ToToe,/mnt/h/MICHELE_MCGPU/VSD_dicom/z019_LeftLeg_MidThigh-ToToe,180,214,1632,1.1621,1.1621,0.5000,94.2,
VSD,z019,R,leg,mid-thigh to toe tip,z019_RightLeg_MidThigh-ToToe,/mnt/h/MICHELE_MCGPU/VSD_dicom/z019_RightLeg_MidThigh-ToToe,182,212,1649,1.1621,1.1621,0.5000,97.9,
VSD,z023,L,leg,mid-thigh to toe tip,z023_LeftLeg_MidThigh-ToToe,/mnt/h/MICHELE_MCGPU/VSD_dicom/z023_LeftLeg_MidThigh-ToToe,205,246,1483,1.0352,1.0352,0.5000,96.8,
VSD,z023,R,leg,mid-thigh to toe tip,z023_RightLeg_MidThigh-ToToe,/mnt/h/MICHELE_MCGPU/VSD_dicom/z023_RightLeg_MidThigh-ToToe,276,262,1448,1.0352,1.0352,0.5000,89.7,lower purity (89.7%) but visually confirmed complete via MIP
VSD,z027,L,leg,mid-thigh to toe tip,z027_LeftLeg_MidThigh-ToToe,/mnt/h/MICHELE_MCGPU/VSD_dicom/z027_LeftLeg_MidThigh-ToToe,142,192,1439,1.2695,1.2695,0.5000,97.5,
VSD,z027,R,leg,mid-thigh to toe tip,z027_RightLeg_MidThigh-ToToe,/mnt/h/MICHELE_MCGPU/VSD_dicom/z027_RightLeg_MidThigh-ToToe,67,194,1428,1.2695,1.2695,0.5000,95.1,
VSD,z035,L,leg,mid-thigh to toe tip,z035_LeftLeg_MidThigh-ToToe,/mnt/h/MICHELE_MCGPU/VSD_dicom/z035_LeftLeg_MidThigh-ToToe,144,173,1450,1.2695,1.2695,0.5000,98.4,
VSD,z035,R,leg,mid-thigh to toe tip,z035_RightLeg_MidThigh-ToToe,/mnt/h/MICHELE_MCGPU/VSD_dicom/z035_RightLeg_MidThigh-ToToe,85,157,1463,1.2695,1.2695,0.5000,100.0,
VSD,z042,L,leg,mid-thigh to toe tip,z042_LeftLeg_MidThigh-ToToe,/mnt/h/MICHELE_MCGPU/VSD_dicom/z042_LeftLeg_MidThigh-ToToe,176,222,1430,1.0098,1.0098,0.5000,98.6,
VSD,z042,R,leg,mid-thigh to toe tip,z042_RightLeg_MidThigh-ToToe,/mnt/h/MICHELE_MCGPU/VSD_dicom/z042_RightLeg_MidThigh-ToToe,181,263,1447,1.0098,1.0098,0.5000,98.2,
VSD,z046,L,leg,mid-thigh to toe tip,z046_LeftLeg_MidThigh-ToToe,/mnt/h/MICHELE_MCGPU/VSD_dicom/z046_LeftLeg_MidThigh-ToToe,201,218,3066,1.2695,1.2695,0.2500,96.2,
VSD,z046,R,leg,mid-thigh to toe tip,z046_RightLeg_MidThigh-ToToe,/mnt/h/MICHELE_MCGPU/VSD_dicom/z046_RightLeg_MidThigh-ToToe,103,218,3146,1.2695,1.2695,0.2500,99.5,
VSD,z049,L,leg,mid-thigh to toe tip,z049_LeftLeg_MidThigh-ToToe,/mnt/h/MICHELE_MCGPU/VSD_dicom/z049_LeftLeg_MidThigh-ToToe,150,221,1532,1.2695,1.2695,0.5000,98.9,
VSD,z049,R,leg,mid-thigh to toe tip,z049_RightLeg_MidThigh-ToToe,/mnt/h/MICHELE_MCGPU/VSD_dicom/z049_RightLeg_MidThigh-ToToe,216,207,1523,1.2695,1.2695,0.5000,96.9,
VSD,z050,L,leg,mid-thigh to toe tip,z050_LeftLeg_MidThigh-ToToe,/mnt/h/MICHELE_MCGPU/VSD_dicom/z050_LeftLeg_MidThigh-ToToe,215,225,2844,1.0762,1.0762,0.2500,94.9,
VSD,z050,R,leg,mid-thigh to toe tip,z050_RightLeg_MidThigh-ToToe,/mnt/h/MICHELE_MCGPU/VSD_dicom/z050_RightLeg_MidThigh-ToToe,217,217,2884,1.0762,1.0762,0.2500,99.0,
VSD,z055,L,leg,mid-thigh to toe tip,z055_LeftLeg_MidThigh-ToToe,/mnt/h/MICHELE_MCGPU/VSD_dicom/z055_LeftLeg_MidThigh-ToToe,200,182,1417,1.2695,1.2695,0.5000,96.8,
VSD,z055,R,leg,mid-thigh to toe tip,z055_RightLeg_MidThigh-ToToe,/mnt/h/MICHELE_MCGPU/VSD_dicom/z055_RightLeg_MidThigh-ToToe,205,170,1431,1.2695,1.2695,0.5000,96.9,
VSD,z056,L,leg,mid-thigh to toe tip,z056_LeftLeg_MidThigh-ToToe,/mnt/h/MICHELE_MCGPU/VSD_dicom/z056_LeftLeg_MidThigh-ToToe,183,205,1703,1.2695,1.2695,0.5000,98.5,
VSD,z056,R,leg,mid-thigh to toe tip,z056_RightLeg_MidThigh-ToToe,/mnt/h/MICHELE_MCGPU/VSD_dicom/z056_RightLeg_MidThigh-ToToe,141,232,1700,1.2695,1.2695,0.5000,96.4,
VSD,z057,L,leg,mid-thigh to toe tip,z057_LeftLeg_MidThigh-ToToe,/mnt/h/MICHELE_MCGPU/VSD_dicom/z057_LeftLeg_MidThigh-ToToe,253,199,1381,1.2695,1.2695,0.5000,88.6,"lower purity (88.6%), high fragment count; visually confirmed complete via MIP"
VSD,z057,R,leg,mid-thigh to toe tip,z057_RightLeg_MidThigh-ToToe,/mnt/h/MICHELE_MCGPU/VSD_dicom/z057_RightLeg_MidThigh-ToToe,126,237,1536,1.2695,1.2695,0.5000,90.8,lower purity (90.8%); visually confirmed complete via MIP
VSD,z061,L,leg,mid-thigh to toe tip,z061_LeftLeg_MidThigh-ToToe,/mnt/h/MICHELE_MCGPU/VSD_dicom/z061_LeftLeg_MidThigh-ToToe,136,187,1635,1.2695,1.2695,0.5000,96.4,
VSD,z061,R,leg,mid-thigh to toe tip,z061_RightLeg_MidThigh-ToToe,/mnt/h/MICHELE_MCGPU/VSD_dicom/z061_RightLeg_MidThigh-ToToe,159,171,1643,1.2695,1.2695,0.5000,99.5,
VSD,z062,L,leg,mid-thigh to toe tip,z062_LeftLeg_MidThigh-ToToe,/mnt/h/MICHELE_MCGPU/VSD_dicom/z062_LeftLeg_MidThigh-ToToe,171,191,1557,1.2695,1.2695,0.5000,95.7,
VSD,z062,R,leg,mid-thigh to toe tip,z062_RightLeg_MidThigh-ToToe,/mnt/h/MICHELE_MCGPU/VSD_dicom/z062_RightLeg_MidThigh-ToToe,176,189,1551,1.2695,1.2695,0.5000,95.1,
VSD,z063,L,leg,mid-thigh to toe tip,z063_LeftLeg_MidThigh-ToToe,/mnt/h/MICHELE_MCGPU/VSD_dicom/z063_LeftLeg_MidThigh-ToToe,186,223,1484,1.1094,1.1094,0.5000,98.0,re-extracted after fixing a mirrored raw-volume header; verify visually if reusing an older copy
VSD,z063,R,leg,mid-thigh to toe tip,z063_RightLeg_MidThigh-ToToe,/mnt/h/MICHELE_MCGPU/VSD_dicom/z063_RightLeg_MidThigh-ToToe,191,235,1505,1.1094,1.1094,0.5000,99.0,re-extracted after fixing a mirrored raw-volume header; verify visually if reusing an older copy
VSD,z064,L,leg,mid-thigh to toe tip,z064_LeftLeg_MidThigh-ToToe,/mnt/h/MICHELE_MCGPU/VSD_dicom/z064_LeftLeg_MidThigh-ToToe,221,248,1579,1.0684,1.0684,0.5000,94.4,
VSD,z064,R,leg,mid-thigh to toe tip,z064_RightLeg_MidThigh-ToToe,/mnt/h/MICHELE_MCGPU/VSD_dicom/z064_RightLeg_MidThigh-ToToe,205,274,1499,1.0684,1.0684,0.5000,97.2,
VSD,z066,L,leg,mid-thigh to toe tip,z066_LeftLeg_MidThigh-ToToe,/mnt/h/MICHELE_MCGPU/VSD_dicom/z066_LeftLeg_MidThigh-ToToe,147,185,1563,1.2695,1.2695,0.5000,98.5,"foot truncated at the toes -- source Shanks-Feet crop itself ends mid-bone, not recoverable"
VSD,z066,R,leg,mid-thigh to toe tip,z066_RightLeg_MidThigh-ToToe,/mnt/h/MICHELE_MCGPU/VSD_dicom/z066_RightLeg_MidThigh-ToToe,165,157,1548,1.2695,1.2695,0.5000,99.5,"foot truncated at the toes -- source Shanks-Feet crop itself ends mid-bone, not recoverable"
